clinical_question,bottom_line,link_name,,
Among T1-2 breast cancer patients with a positive sentinel lymph node biopsy undergoing lumpectomy and whole-breast radiation does axillary lymph node dissection improve survival or local control compared to nodal observation?,Axillary lymph node dissection (ALND) has historically been a means of maintaining regional control of breast cancer especially in patients with initial presentation of metastatic nodal disease. Sentinel lymph node biopsy is a commonly used method of detecting micrometastatic axillary disease at initial presentation. Due to the significant morbidity of ALND including paresthesias lymphedema seroma and infection judicious use of the procedure is important. The randomized NSABP B-32 study demonstrated that patients with a negative sentinel lymph node biopsy (SLNB) could be spared ALND.[1] Whether ALND might be avoided in patients with clinically negative axillary nodes and fewer than 3 positive sentinel lymph nodes was unknown. ,/wiki/ACOSOG_Z0011,,
Among patients undergoing coronary and peripheral vascular angiography does acetylcysteine reduce the risk of contrast-induced acute kidney injury?,Acetylcysteine reduces oxidative stress[1] and may improve renal perfusion.[2] Numerous small or otherwise low-quality trials have been published investigating whether acetylcysteine reduced the incidence of contrast-induced acute kidney injury (CI-AKI) in patients undergoing angiography.  ,/wiki/ACT,,
Among patients with atrial fibrillation who are not suitable candidates for vitamin K antagonists does the addition of clopidogrel to aspirin reduce the risk of vascular events compared to aspirin alone?,AF was first identified as a risk factor for stroke in a 1978 Framingham study publication.[1][2] The 1991 SPAF study[3] demonstrated the superiority of warfarin over aspirin in stroke prevention in AF. Despite the benefits of anticoagulation many patients with AF do not receive such therapy because of a known or perceived risk of bleeding or another factor that renders VKAs unsuitable. For years such patients had been prescribed aspirin or combination aspirin/clopidogrel although the comparative efficacy of these strategies had not yet been rigorously studied until ACTIVE A.,/wiki/ACTIVE_A,,
Among patients with nonvalvular AF how does combination aspirin/clopidogrel compare to warfarin in reducing the incidence of stroke systemic embolism MI or CV death?,The 2006 Atrial fibrillation Clopidogrel Trial with Irbesartan for prevention of Vascular Events (ACTIVE W) randomized 6706 patients with nonvalvular AF and one or more additional risk factors for stroke to open treatment with either aspirin/clopidogrel or warfarin. At a mean follow-up of 1.3 years combination aspirin/clopidogrel was inferior to anticoagulation at reducing the composite incidence of stroke non-CNS systemic embolus MI or CV death (annual risk 5.6% vs. 3.9%) and was associated with increased bleeding (15.4% vs. 13.2%). A post hoc subgroup analysis suggested that anticoagulation conferred no benefit over antiplatelet therapy among patients receiving low-quality anticoagulation (ie those time in therapeutic range <58%).,/wiki/ACTIVE_W,,
Among patients hospitalized for Covid-19 with lower respiratory tract involvement does remdesivir reduce the time to recovery?,Originally developed as a treatment for the Ebola virus remdesivir is a prodrug adenosine analogue that inhibits RNA-dependent RNA polymerases of several RNA viruses. Remdesivir was identified as a potentially promising therapeutic agent for the treatment of Covid-19 after preclinical investigations discovered in vitro inhibitory activity against SARS-CoV-2 as well as related coronaviruses SARS-CoV and MERS-CoV.,/wiki/ACTT-1,,
Does administration of cisatracurium improve survival when compared to placebo in ICU patients undergoing mechanical ventilation for early severe ARDS?,The high mortality of ARDS -- up to 46% at 60 days[1] -- has been improved upon by only a few interventions most notably the ARDSNet (2000) low tidal volume protocol. Therapeutic paralysis has been used in synergy with sedation to improve mechanical ventilation. However its role as a treatment modality for ARDS was unclear.,/wiki/ACURASYS,,
In patients older than 50 presenting to the ED with clinically-suspected PE is using an age-adjusted D-dimer cutoff versus conventional cutoff (>500 µg/L) associated with an increased diagnostic yield?,Pulmonary embolism (PE) is a potentially life-threatening disorder that is frequently considered in the emergency medicine differential diagnoses. Given its significant morbidity and mortality it must be rapidly ruled out. The presentation of PE is often non-specific and diagnostic testing and treatment can be associated with significant adverse events. D-dimer testing with a threshold of 500 μg/L has been shown to be a highly sensitive test with a correspondingly high negative predictive value among patients with low pretest probability for PE. However several studies have shown that D-dimer levels increase with age thereby limiting the yield and cost-effectiveness of D-dimer testing among older patients.[1][2] Retrospective and meta-analysis studies suggested that a simple age adjustment (age × 10 in patients >50 years) may better define an optimal D-dimer cutoff value among older patients.[3][4] ADJUST-PE sought to prospectively validate this method.,/wiki/ADJUST-PE,,
In patients with septic shock requiring ventilatory and vasopressor support does a continuous week-long infusion of hydrocortisone 200 mg/day improve mortality at 90 days when compared to placebo?,Multiple RCTs have investigated the potential role for steroid therapy in patients with septic shock. The Annane Trial in 2002 with 299 patients demonstrated a short-term mortality benefit with IV hydrocortisone and fludrocortisone among patients with evidence of adrenal insufficiency on ACTH stimulation testing. CORTICUS with 499 patients in 2008 investigated hydrocortisone in patients with and without adrenal insufficiency and found a faster reversal of shock but no benefit in either subgroup with suggestion of increased infection rates in patients receiving hydrocortisone. HYPRESS in 2016 with 380 patients showed no difference in mortality but showed decrease time to reversal of shock.,/wiki/ADRENAL,,
In patients with T2DM what are the vascular effects of intensive glycemic therapy targeting a HbA1c ≤6.5%?,In the 2008 ADVANCE trial sulfonylurea-based intensive glycemic therapy targeting a HbA1c ≤6.5% was associated with a 10% reduction in combined micro- and macrovascular events compared with standard therapy. This was largely driven by a 23% reduction in the risk of microvascular events principally nephropathy. There was no reduction in the risk of macrovascular events.,/wiki/ADVANCE,,
Among patients with AF and HFrEF does rhythm-control reduce cardiovascular mortality as compared to rate control?,The AFFIRM trial showed that among patients with non-valvular AF there was no significant mortality difference between rate-control and rhythm-control strategies. There are specific issues related to patients with AF and heart failure (HF). Heart failure patients have a higher risk of developing AF. They are also at a higher risk for adverse effect from certain anti-arrhythmic drugs. Hence the investigators aimed to determine if rhythm-control would reduce cardiovascular mortality as compared to rate control.,/wiki/AF-CHF,,
Among patients with atrial fibrillation and a high risk of stroke or death what are the effects of rate control versus rhythm control on mortality?,The 2002 Atrial Fibrillation Follow-up Investigation of Rhythm Management (AFFIRM) trial was the first and largest study to compare rate-control and rhythm-control strategies for the treatment of AF. Among 4060 patients with non-valvular AF and a high risk of stroke or death AFFIRM demonstrated no survival advantage between rate-control (using ß-blocker calcium channel blocker and/or digoxin) and rhythm-control strategies.  All patients were anticoagulated on warfarin initially but patients in the rhythm control arm who maintained normal sinus rhythm for at least 4 consecutive weeks could stop.  In fact there was a nonsignificant trend toward a decrease in mortality associated with the rate-control strategy particularly those aged ≥65 and those without a history of HF.  However rates of ischemic stroke were similar between both groups at approximately 1% per year.,/wiki/AFFIRM,,
Among eligible women does initiation of breast cancer screening with mammograms at age 40-41 reduce breast cancer mortality when compared to initiation at age 50?,Screening mammography to reduce breast cancer mortality in women was demonstrated as effective in multiple trials including the 1971 HIP[1] and 1985 Swedish Two Counties[2] studies. Evidence supporting screening before the age of 50 years was lacking.[3] Publications addressing the utility of screening in women age 40-49 were were largely secondary analyses of larger population screening trials.[4] As mammography is associated with multiple potential harms including psychological distress from false-positives pain overdiagnosis overtreatment[5] and radiation exposure[6] whether to screen women age 40-49 years old has been controversial.,/wiki/Age_Trial,,
In patients with stable or unstable coronary artery disease (CAD) undergoing percutaneous coronary intervention (PCI) are bioresorbable scaffolds superior to standard drug-eluting stents (DES) with regard to target-vessel failure?,Although current second-generation DES are the best established and most efficacious means of achieving and maintaining coronary artery patency in the setting of obstructive CAD they are still associated with an ongoing risk of stent thrombosis (approximately 0.1-0.2% per year) and in-stent restenosis (2-3% per year). Theoretically recently developed biosorbable metallic scaffolds leave no permanent implant and thus may allow for better restoration of natural vessel function after revascularization. The ABSORB-III trial demonstrated noninferiority with the bioresorbable scaffold versus everolimus-eluting DES with regard to target-vessel patency at 1 year. However multiple observational studies as well as longer-term follow up of the related ABSORB II trial suggest that scaffolds may be associated with higher medium-term device failure rates than DES. [1][2] Nevertheless scaffolds have been approved for use by the FDA and the EU and have already begun to achieve significant clinical use. A longer-term RCT investigating the comparative efficacy and safety of scaffolds vs. DES was needed.,/wiki/AIDA,,
In patients with colchicine-resistant steroid-dependent recurrent pericarditis does the IL-1B antagonist anakinra reduce recurrent pericarditis compared to placebo?,Recurrent pericarditis is a major clinical problem affecting up to 30% of patients after a first episode of acute pericarditis and up to 50% of patients after a first recurrence when colchicine is not used[1]. As shown in the ICAP trial upfront combined therapy with both colchicine and anti-inflammatory agents is effective in reducing risk of recurrence after acute pericarditis but even with this therapy recurrence still occurs around 20% of the time. Although oral steroids are often effective in treating recurrent pericarditis patients who require steroids for this indication often have difficulty with recurrence when steroids are weaned off and are therefore exposed to the myriad side effects of long-term steroid therapy. Whether the addition of more novel anti-inflammatory agents may allow for steroid-sparing therapy in refractory recurrent pericarditis is unclear although there have been suggestions from retrospective studies and case series that anakinra may be effective in this setting.,/wiki/AIRTRIP,,
Among ICU patients with AKI does early renal replacement therapy (RRT) reduce mortality as compared to delayed RRT?,Renal replacement therapy (RRT) is a life-saving intervention among critically-ill patients with severe AKI. However some of these patients with severe AKI spontaneously recover renal function and may not need urgent RRT. While RRT is generally well-tolerated it is associated with procedure-related complications (eg line infections). Conversely early removal of uremic toxins may provide benefit among the critically-ill.  As such the timing of initiation of RRT was a matter of debate among critically-ill patients with severe AKI. ,/wiki/AKIKI,,
Among patients with severe sepsis or septic shock does administration of albumin 20% solution to maintain serum albumin level ≥3 g/dL (≥30 g/L) reduce all-cause mortality at 28 days when compared to no albumin?,Selection of volume for resuscitation in ICU patients was addressed in the 2004 SAFE trial which compared albumin and crystalloids. In the severe sepsis subgroup in SAFE albumin demonstrated a non-significant trend towards lower all-cause mortality at 28 days with albumin (P=0.09). A 2006 pilot trial by Dubois et al.[1] suggested that daily IV albumin administration for serum albumin <3.1 g/dL (<31 g/L) may improve SOFA score (for organ function) for critically ill hypoalbuminemic patients. A large randomized controlled trial to evaluate for benefit of albumin in patients with severe sepsis or septic shock was lacking.,/wiki/ALBIOS,,
Among patients with cirrhosis and spontaneous bacterial peritonitis treated with antibiotics does intravenous albumin reduce incident renal impairment and mortality when compared to antibiotics alone?,'Spontaneous bacterial peritonitis (SBP) is a common infection associated with cirrhosis that carries significant morbidity and mortality. While antibiotics mitigate some harm SBP survivors experience a high incidence of renal dysfunction.[1] The underlying mechanism of SBP''s harm are thought to be related to a decrease in effective arterial blood volume from the infection. As individuals with cirrhosis have a low baseline oncotic pressure renal perfusion is reduced leading to renal insufficiency. Albumin increases oncotic pressure over the short term and its administration may improve renal perfusion renal outcomes and mortality among those with SBP.  ',/wiki/Albumin_for_SBP,,
In patients with hypertension what is the efficacy of a calcium channel blocker ACE inhibitor or thiazide diuretic in lowering the incidence of CV events?,Hypertension is a major risk factor for numerous conditions including CAD. The optimal choice of antihypertensive for prevention of CAD endpoints was unclear. Published in 2002 the Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT) sought to determine which of four agents antihypertensive performed best in terms of fatal CAD and nonfatal MI. The study enrolled 33357 participants age ≥55 years with hypertension and at least one CAD risk factor. The study drug was instituted and additional open-label agents were added to achieve BP goals. The pragmatic ALLHAT found that compared to amlodipine chlorthalidone performed similarly in reducing overall incidence of CAD but decreased the incidence of HF. Compared to lisinopril chlorthalidone reduced overall CAD by 10% stroke by 15% HF by 19% and angina by 11%. The doxazosin arm was terminated prematurely because of a significantly increased risk of HF compared to chlorthalidone noted during an interim analysis. Following ALLHAT thiazides became widely used as first-line agents for essential hypertension.,/wiki/ALLHAT,,
In the ALLHAT-LLT study did patients aged ≥65 years with moderate hyperlipidemia and hypertension but without atherosclerotic cardiovascular disease (ASCVD) benefit from the addition of statin therapy in terms of all-cause mortality when compared to usual care alone?,Previous studies have quantified that 28% of patients 75-79 and 22% of patients 80 and older take statins for primary prevention[1] and statin use for primary prevention in patients older than 79 has increased from 8.8% in 1999-2000 to 34.1% in 2011-2012.[2] A 2015 Markov model reported that while statins may be cost effective for primary prevention in patients 75 years and older any benefit could be easily offset by an increase in adverse events.[3],/wiki/ALLHAT-LLT_Elderly,,
Among patients with active lupus nephritis is mycophenolate superior to cyclophosphamide for the induction of a renal response?,Clinically significant renal involvement occurs in approximately half of patients with lupus and renal histology in patients with lupus nephritis predicts responsiveness to therapy. Focal proliferative (class III) and diffuse proliferative (class  IV) lupus nephritis are mediated by immune and inflammatory mechanisms responsive to immunosuppression and antiinflammatory therapy and preferred therapy has generally been with a combination of prednisone plus cyclophosphamide based upon a landmark study from the NIH.[1] Due to the toxicities of cyclophosphamide including an increased risk of bladder toxicity and ovarian failure alternative strategies have been investigated such as reduced-dose and short-course cyclophosphamide as well as alternative immunosuppressants such as mycophenolate mofetil (MMF). Several studies have compared cyclophosphamide and MMF generally finding that MMF is equivalent to cyclophosphamide in terms of efficacy with a lower risk of ovarian failure.[2][3],/wiki/ALMS,,
In adult patients with symptomatic asthma who are currently using an inhaled corticosteroid or a long-acting bronchodilator does oral azithromycin decrease the frequency of asthma exacerbations?,Optimal medical therapy for adults with asthma includes inhaled corticosteroids and bronchodilators but despite these interventions some patients have persistent symptoms. This led to the hypothesis that the antimicrobial and anti-inflammatory effects of azithromycin may reduce exacerbations and improve quality of life in these patients. Clinical data in the mid-2010s was too limited to inform the use of azithromycin among patients with persistent asthma.[1],/wiki/AMAZES,,
Among patients with acute VTE is apixaban non-inferior to conventional therapy with LMWH and vitamin K antagonists for symptomatic VTE recurrence VTE mortality or rates of bleeding?,The conventional treatment of VTE includes a heparin derivative (eg UFH or LMWH) usually followed by a vitamin K antagonist (VKA; eg warfarin). The new oral anticoagulants have promise as an alternative regimen for treatment of VTE as they do not require injections or frequent laboratory monitoring. RE-COVER (2009; dabigatran) EINSTEIN-DVT (2010; rivaroxaban)[1] EINSTEIN-PE (2012; rivaroxaban) and Hokusai-VTE (2013; edoxaban)[2] demonstrated noninferiority to standard therapy with an acceptable bleeding profile. The efficacy of apixaban a factor Xa inhibitor like rivaroxaban had not yet been demonstrated in a large trial.  ,/wiki/AMPLIFY,,
In patients with VTE who have completed 6-12 months of anticoagulation does long-term apixaban treatment reduce recurrent VTE or all-cause mortality?,The rate of VTE recurrence is up to 11% in the first year alone[1] prompting investigators to study continued low-dose anticoagulation or antiplatelet agents in the secondary prevention of VTE. ASPIRE and WARFASA (both 2012) demonstrated that aspirin reduces VTE recurrence by 32% while AMPLIFY-EXT studied apixaban a factor Xa inhibitor.,/wiki/AMPLIFY-EXT,,
Among patients with septic shock and relative adrenal insufficiency do corticosteroids reduce 28-day mortality?,"Sepsis is associated with relative adrenal insufficiency and according to classical teaching this results in greater rates of shock and hypotension refractory to standard resuscitation measures including IV fluids and vasopressors. Thus a common practice has been to treat refractory shock with corticosteroids the so-called ""stress-dose steroids"" approach. Because of the immunosuppression that corticosteroids induce some have argued that corticosteroid administration should be limited to patients with documented adrenal insufficiency where the benefit of corticosteroids would theoretically be greatest. Regardless of rationale for decades corticosteroids have been in wide use among ICU physicians despite a paucity of strong supporting clinical trial data. The Annane Trial aimed to reverse this trend by investigating the role of corticosteroids in patients with septic shock and documented adrenal insufficiency.",/wiki/Annane_Trial,,
In healthy older adults what is the efficacy and safety of andexanet for reversing the anticoagulant effects of the factor Xa inhibitors apixaban or rivaroxaban?,Apixaban rivaroxaban and edoxaban are factor Xa inhibitors approved in the US for the management of nonvalvular atrial fibrillation and venous thromboembolism. Like the low-molecular-weight heparins enoxaparin dalteparin and tinzaparin—but in contrast to dabigatran heparin and warfarin—factor Xa inhibitors lack an FDA approved reversal agent. ,/wiki/ANNEXA,,
In adults with potentially life-threatening acute major bleeding what is the efficacy and safety of andexanet alfa for reversing the anticoagulant effects of the factor Xa inhibitors apixaban rivaroxaban edoxaban or enoxaparin?,The direct oral anticoagulants (DOACs) including dabigatran apixaban and rivaroxaban are safe and effective alternatives to warfarin among patients with thromboembolism and nonvalvular atrial fibrillation as demonstrated in RE-LY AMPLIFY ROCKET AF and other large trials. While more convenient due to fixed dosing rather than requiring dose adjustments based on INR the DOACs have been limited by the lack of a highly efficacious method of reversal of their anticoagulant effect. RE-VERSE AD established the monoclonal antibody idarucizumab in reversing the anticoagulant effect of the direct thrombin inhibitor dabigatran. Andexanet alfa is a recombinant modified human factor Xa decoy protein developed to reverse the effects of factor Xa inhibitors including enoxaparin apixaban and rivaroxaban.[1] On the basis of two studies in healthy volunteers in which andexanet alfa reversed the anticoagulant effects of apixaban and rivaroxaban (ANNEXA-A and ANNEXA-R) the FDA granted accelerated approval to andexanet alfa in May 2018 for the treatment of life-threatening or uncontrolled bleeding in patients receiving either of these two factor Xa inhibitors.[2] Prospective studies were needed to demonstrate the efficacy of andexanet alfa in the management of patients with hemorrhage associated with factor Xa inhibitors. Additional studies are ongoing in a variety of patient populations and the present study represents an interim analysis of one such study.,/wiki/ANNEXA-4,,
Among men who have sex with men and are at high risk for HIV transmission does on-demand pre-exposure prophylaxis around the time of sex reduce the transmission of HIV?,Previously the 2010 IPrEx trial demonstrated that emtricitabine-tenofovir (TDF-FTC brand name Truvada) taken daily reduces the incidence of new HIV infections among seronegative men who have sex with men (MSM) at high risk of HIV infection.[1] The drawbacks of daily use — including cost and the risk of renal insufficiency and Fanconi syndrome — drove investigators to evaluate the efficacy of as-needed pre-exposure prophylaxis.,/wiki/ANRS_IPERGAY,,
Among cirrhotic patients who present with GI bleed how does ceftriaxone compare to norfloxacin in reducing the rate of bacterial infections?,In 1992 a landmark trial by Soriano et al[1] demonstrated that norfloxacin reduces the incidence of bacterial infections and is associated with a nonsignificant trend towards improved survival among cirrhotic patients with GI bleed. Administration of antibiotics to these patients became considered standard-of-care soon thereafter. Subsequent epidemiologic studies revealed changes in antimicrobial resistance patterns with many quinolone-resistant bacteria causing infections in these patients. This prompted the current study which demonstrated the superiority of ceftriaxone over norfloxacin in reducing the rate of bacterial infections among cirrhotic patients with GI bleed. However a 2010 Cochrane review[2] did not find benefit of one antibiotic over another and therefore recommended antibiotic choice based upon local sensitivities.,/wiki/Antibiotics_in_Cirrhosis_with_Hemorrhage,,
Among adults on stable doses of antidepressant medications who are not currently depressed with ≥2 prior depressive episodes what was the risk of depression relapse among those randomized to maintenance of their current therapy vs. discontinuation of their therapy?,Depression is a common condition and antidepressants are commonly prescribed among adults with approximately 19% of US adults aged ≥60 taking an antidepressant medication.[1] The evidence supporting the use of contemporary antidepressant medications comes from short-term trials.[2] The role for long-term continuation of antidepressant medications is unclear. ,/wiki/ANTLER,,
Among acutely medically ill patients does extended thromboprophylaxis with betrixaban reduce the rate of VTE when compared with enoxaparin?,Hospitalized medically ill patients are at an increased risk of VTE during the hospitalization and following discharge. Randomized placebo-controlled trials including MEDENOX PREVENT and ARTEMIS demonstrated promise of in-hospital thromboprophylaxis with LMWH with a relative risk reduction of 45 to 63%.[1][2][3]  However medically ill patients may remain at risk for VTE during the post-discharge period with as many as 56.6% of all VTE events occurring after hospital discharge.[4] Studies such as MAGELLAN indicate that extended VTE prophylaxis with rivaroxaban may reduce rates of recurrent VTE at the expense of excess bleeding when compared to standard-course enoxaparin VTE prophylaxis. It is unclear whether extended anticoagulation with another DOAC may be efficacious without increasing the risk of clinically significant bleeding.,/wiki/APEX,,
Is antibiotic treatment for adult patients with acute appendicitis confirmed by computed tomography (CT) inferior compared to appendectomy?,Approximately 1 in 10 people undergo an appendectomy for acute appendicitis during their lifetime.[1] Despite the high incidence the efficacy of an antibiotics-only approach is of unknown efficacy. There has been one Cochrane analysis [2] and several meta-analyses [3][4][5][6][7] comparing antibiotic treatment to appendectomy. In general these trials were small and/or had eligibility criteria (e.g. no females) that limited generalizability. These trials showed that antibiotic therapy was inferior to appendectomy for acute appendicitis and the success rates of antibiotic treatment was 70-80% [8][9]. ,/wiki/APPAC,,
In adult patients with septic shock does low-dose hydrocortisone plus fludrocortisone for 7 days affect overall survival at 90 days?,Multiple RCTs have investigated the potential role for steroid therapy in patients with septic shock with some studies suggesting a survival benefit (eg the Annane Trial) and others demonstrating no such benefit (eg CORTICUS HYPRESS and ADRENAL). With uncertainty about the role of steroids for patients with septic shock the authors of the present study redesigned a trial to add to the evidence.,/wiki/APROCCHSS,,
In patients with ALI/ARDS receiving mechanical ventilation how does a lung protective strategy using lower tidal volumes compare with traditional ventilation protocols in decreasing mortality and ventilator-free days? ,ARDS is mediated by alveolar damage from the release of inflammatory mediators.  Traditional approaches to mechanical ventilation used tidal volumes of 10-15ml/kg PBW.  However multiple animal studies and observational studies showed that these large tidal volumes and the consequential elevated plateau pressures were associated with significant barotrauma.  ,/wiki/ARDSNet,,
In patients presenting to an emergency department with severe sepsis or septic shock does early goal-directed therapy reduce all-cause mortality at 90 days when compared to usual care? ,"The single-center Rivers Trial (2001) demonstrated that early goal-directed therapy (EGDT) conferred a mortality benefit among patients with severe sepsis or septic shock. Resuscitation using EGDT involved administration of fluids vasopressors and transfusion of RBCs guided by objective measurement of MAP CVP ScvO2 and UOP early after identification of the condition. The protocol was subsequently recommended for these conditions by the Surviving Sepsis Campaign.[1] The utility of the protocol was called into question when the 2014 ProCESS trial did not find a mortality difference when EGDT was compared to either clinician-directed ""usual care"" or an alternative goal-directed resuscitation protocol. As ProCESS enrolled patients at academic medical centers it was unclear if EGDT would provide benefit for patients enrolled in a more heterogeneous environment.",/wiki/ARISE,,
Among patients with nonvalvular atrial fibrillation and ≥1 stroke risk factor does apixaban reduce rates of stroke or systemic embolism in comparison to warfarin without increasing bleeding risks?,VKA therapy is the standard of care for prevention of stroke and systemic embolism in AF but it has multiple drawbacks including drug-drug interactions need for frequent monitoring and dietary modification. Several drugs including dabigatran in RE-LY (2009) and rivaroxaban in ROCKET AF (2011) (and later edoxaban in ENGAGE AF-TIMI 48)[1] have proven efficacious as alternatives to VKA therapy in AF. Like these other drugs apixaban an oral factor Xa inhibitor does not require monitoring has fewer drug-drug interactions and may therefore be advantageous clinically. Its efficacy had not yet been established in a large clinical trial however.,/wiki/ARISTOTLE,,
